"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2019","75.238","75.495","75.622","75.130","","-0.34%"
"01/29/2019","75.495","75.714","75.987","75.370","","-0.29%"
"01/28/2019","75.714","75.323","75.877","75.073","","0.52%"
"01/25/2019","75.323","74.398","75.345","74.393","","1.24%"
"01/24/2019","74.398","75.220","75.223","74.303","","-1.09%"
"01/23/2019","75.220","75.560","75.560","75.114","","-0.45%"
"01/22/2019","75.560","75.451","75.645","75.381","","0.14%"
"01/21/2019","75.451","75.294","75.626","75.290","","0.21%"
"01/18/2019","75.294","75.588","75.764","75.142","","-0.39%"
"01/17/2019","75.588","75.617","75.931","75.494","","-0.04%"
"01/16/2019","75.617","76.409","76.410","75.555","","-1.04%"
"01/15/2019","76.409","76.908","77.073","76.237","","-0.65%"
"01/14/2019","76.908","76.699","77.190","76.699","","0.27%"
"01/11/2019","76.699","76.940","77.409","76.665","","-0.31%"
"01/10/2019","76.940","77.100","77.602","76.910","","-0.21%"
"01/09/2019","77.100","76.550","77.216","76.550","","0.72%"
"01/08/2019","76.550","77.239","77.298","76.410","","-0.89%"
"01/04/2019","77.239","78.242","78.253","77.030","","-1.28%"
"01/03/2019","78.242","79.995","79.995","78.129","","-2.19%"
"12/29/2018","79.995","79.670","80.198","79.530","","0.41%"
"12/28/2018","79.670","79.540","79.855","79.321","","0.16%"
"12/27/2018","79.540","78.010","79.830","78.003","","1.96%"
"12/26/2018","78.010","78.257","79.061","77.982","","-0.32%"
"12/25/2018","78.257","78.190","78.733","78.110","","0.09%"
"12/24/2018","78.190","78.250","78.475","77.728","","-0.08%"
"12/21/2018","78.250","78.317","78.594","77.822","","-0.09%"
"12/20/2018","78.317","76.765","78.815","76.745","","2.02%"
"12/19/2018","76.765","76.424","77.428","76.328","","0.45%"
"12/18/2018","76.424","75.767","76.500","75.705","","0.87%"
"12/17/2018","75.767","75.470","75.777","75.247","","0.39%"
"12/14/2018","75.470","75.236","75.500","74.904","","0.31%"
"12/13/2018","75.236","75.527","75.614","75.126","","-0.39%"
"12/12/2018","75.527","75.140","75.527","75.104","","0.52%"
"12/11/2018","75.140","75.679","75.731","75.090","","-0.71%"
"12/10/2018","75.679","75.743","75.984","75.538","","-0.08%"
"12/07/2018","75.743","76.100","76.288","75.236","","-0.47%"
"12/06/2018","76.100","75.519","76.411","75.504","","0.77%"
"12/05/2018","75.519","75.790","75.888","75.425","","-0.36%"
"12/04/2018","75.790","75.469","75.893","75.469","","0.42%"
"12/03/2018","75.469","75.745","75.816","75.132","","-0.36%"
"11/30/2018","75.745","75.421","76.137","75.400","","0.43%"
"11/29/2018","75.421","76.158","76.158","75.100","","-0.97%"
"11/28/2018","76.158","75.769","76.250","75.405","","0.51%"
